Individual Race Samples,Date,Race Event Name,Race Number,Horse Name,Jockey,Last Raced,Weight,Start Position,Finish Position,Odds,LIFE%WIN,AVESPRAT,W/RACE,LSPEDRAT,JOCK%WIN,JOCK#WIN,JIMISTDATA,NEWDIST,timeSinceLastRace,Age Of Horse,finishingPostioninLastRace,,,weightCarriedInPastRace,Binary Odds
,4/4/2023,Parx Racing ,165,Prince Filip,Yabriel Ramos,3/20/2023,118,2,0,1.6,0.3636,79.5,"$32,750.00 ",71,,,,,15,5, 4/7,4,0.57,119,0
,4/4/2023,Parx Racing ,165,Buffalo Shuffle,Mychel Sanchez,2/28/2023,123,1,0,3.5,0.1579,72.25,"$29,150.00 ",86,,,,,35,5,10-Feb,2,0.2,121,0
,4/4/2023,Parx Racing ,165,Tomater Gator,Dexter Haddock,3/20/2023,126,3,0,9.7,0.1429,72.5,"$45,834.00 ",78,,,,,15,8, 1/7,1,0.14,121,0
,4/4/2023,Parx Racing ,165,Mach Trial,Silvestre Gonzalez,3/15/2023,123,8,0,11.4,0.087,74.5,"$17,920.00 ",71,,,,,20,10, 5/9,5,0.56,121,0
,4/4/2023,Parx Racing ,165,Tactical Plan,Angel Castillo,3/8/2023,123,9,0,34.9,0,66.75,"$20,884.00 ",68,,,,,27,10, 3/7,3,0.43,121,0
,4/4/2023,Parx Racing ,165,Manolete ,Jorge Vargas Jr,3/25/2023,123,6,0,16.3,0.1905,73,"$28,090.00 ",62,,,,,10,9,9-Mar,3,0.33,123,0
,4/4/2023,Parx Racing ,165,Traders Luck,Maicol Inirio,3/10/2023,123,5,0,27.5,0.1,63.75,"$40,570.00 ",63,,,,,25,5, 6/7,6,0.86,122,0
,4/4/2023,Sandy Ridge At The Red Mile,166,Maggies Special Guy,Leonrdo Rodriguez,3/16/2023,125,3,0,2.01,0.5,20,"$20,000.00 ",43,,,,,19,2, 1/8,1,0.13,124,1
,4/4/2023,Sandy Ridge At The Red Mile,166,Johnn T,Jorge Torres,4/1/2023,125,2,0,4.54,0,12,"$12,935.00 ",48,,,,,3,2,9-Jun,6,0.67,124,0
,4/4/2023,Sandy Ridge At The Red Mile,166,Eb Little,Cristian Reyes,4/1/2023,125,1,0,4.55,0,13,"$18,451.00 ",52,,,,,3,2,10-Jun,6,0.6,124,0
,4/4/2023,Sandy Ridge At The Red Mile,166,Holleyhawk,Gilbert Ortiz,3/15/2023,124,4,0,0.94,0.5,24.25,"$5,350.00 ",48,,,,,20,2, 1/5,1,0.2,124,0
,4/4/2023,Sandy Ridge At The Red Mile,167,Stolin Home Brew,Shanley Jackson,3/18/2023,128,1,0,1.96,0.1429,51,"$23,912.00 ",20,,,,,17,4,10-Oct,10,1,127,1
,4/4/2023,Sandy Ridge At The Red Mile,167,Blackie Chan,Gilbert Ortiz,4/1/2023,126,3,0,4.99,0,16.25,"$7,100.00 ",65,,,,,3,3,8-Feb,2,0.25,126,0
,4/4/2023,Sandy Ridge At The Red Mile,167,Pevs Queen of Hearts,Jorge Torres,3/23/2023,126,4,0,1.21,0.5,32.75,"$16,439.00 ",78,,,,,12,3, 1/9,1,0.11,124,0
,4/4/2023,Sandy Ridge At The Red Mile,167,Freedom Speaks,Cesar Esqueda,11/11/2022,126,2,0,4.31,0.1429,58,"$2,631.00 ",69,,,,,144,3, 5/8,5,0.63,128,0
,4/4/2023,Sandy Ridge At The Red Mile,167,J V Two,Jose Ruiz,4/1/2023,128,5,0,37.25,0,13.5,"$3,410.00 ",50,,,,,3,4, 5/9,5,0.56,126,0
,4/4/2023,Sandy Ridge At The Red Mile,167,Famous Ghost Cash,Isidro Banuelos,4/2/2023,126,6,0,26.32,0,22,"$1,700.00 ",10,,,,,2,3,10-Sep,9,0.9,124,0
,4/4/2023,Sandy Ridge At The Red Mile,168,FK Hoka Hey,Leandro Briceno,4/2/2023,126,1,0,0.27,0.1667,46.25,"$13,396.00 ",44,,,,,2,3, 5/6,5,0.83,127,1
,4/4/2023,Sandy Ridge At The Red Mile,168,Perry Special Chick,Germarius O'Neal,4/2/2023,128,2,0,9.34,0,41.5,"$5,043.00 ",32,,,,,2,4,6-Jun,6,1,128,0
,4/4/2023,Sandy Ridge At The Red Mile,168,Fm Rene,Cesar Esqueda,10/23/2022,128,3,0,7.84,0.4,32,"$1,500.00 ",14,,,,,163,5,8-Aug,8,1,126,0
,4/4/2023,Sandy Ridge At The Red Mile,168,Angel Prize,Gilbert Ortiz,3/18/2023,128,4,0,3.76,0,53.75,"$9,866.00 ",54,,,,,17,5,6-Jun,6,1,128,0
